Cluster ID,totpop_19,popchange,medage,poc,highed,forborn,net_mig,medearn,pov,labfor,ownerocc,highered_emp_qcew,highered_estab_qcew,inst_highered_endowment,inst_highered_nihresearchfunding,inst_highered_nsfresearchfunding,inst_ipeds_enrollment_all,inst_ipeds_associatescolleges,inst_ipeds_baccalaureatecolleges,inst_ipeds_doctoralunihighrese,inst_ipeds_undergradgrad,inst_ipeds_totalgradenrollment,inst_ipeds_completions,inst_ipeds_pellawards,hospital_emp_qcew,hospital_estab_qcew,inst_hosp_ahacommunityhospitals,inst_hosp_ahabeds,inst_hosp_ahaadmissions,inst_hosp_ahasurgicaloperations,inst_hosp_nihresearchfunding,inst_hosp_medbeneficiaries
1,2314466.176470588,14.817483367885231,37.141176470588235,33.22642738052974,36.54117647058823,16.03529411764706,6119.352941176472,39747.35294117647,10.011764705882353,67.39411764705882,64.51176470588236,21219.401764705883,74.88235294117646,2211888170.647059,155425411.58823526,252037.4705882353,155210.35294117645,3.7647058823529407,2.176470588235294,1.4117647058823528,135325.76470588232,19884.588235294115,57686.11764705883,27436195.82352941,37535.92941176469,79.82352941176471,24.117647058823525,4530.823529411764,211840,166334.9411764706,8578934.352941178,301855.17647058825
2,227301.2,2.325670337638838,40.513333333333335,10.901189394460356,23.1,2.6866666666666665,-330.46666666666664,30235.333333333332,15.46,59.06,70.52666666666667,3093.073333333333,8,121267098.40066665,2138550.8666666662,135890.73333333334,25088.26666666667,1.4,0.33333333333333337,0.33333333333333337,21632.73333333333,3455.5333333333338,9686.4,5838053.533333333,6458.013333333332,9.666666666666666,5.133333333333334,845.0666666666667,36359.40000000001,31513.533333333333,0,47522.86666666667
3,1441642.1,7.214758964893657,37.36,37.000384844660246,28.91,12.209999999999999,1923.5999999999997,31282,16.09,62.44,63.68,11246.266999999998,45.6,595021778.9,56292770.8,241020.4,114309.3,1.9,1.5,1,101442.9,12866.4,50502.2,32655314.4,29557.707,54.7,14.7,3953.9,178619.7,104407.1,10928541.9,248809.3
4,409679.375,11.554226597032505,37.2125,35.83143477743139,24.75,5.7,1151,30890.5,15.9125,60.074999999999996,65.7125,3746.1249999999973,14,237603444.125,21244919.625,189611.625,23804.75,1.625,0.75,0.125,19977,3827.75,10176.25,7253860,9973.037499999999,16.125,6.375,1192.375,54296.625,48951.75,300061.25,78965.125
5,511952.3333333334,8.811770015860013,35.666666666666664,29.2535002621988,34.21666666666667,6.2,-856.3333333333333,31128.166666666668,16.266666666666666,63.983333333333334,64.31666666666666,8309.593333333332,22.166666666666668,937521901.3333333,61011483.66666667,314370.3333333333,50774.166666666664,1.1666666666666667,1.1666666666666667,1,41746.333333333336,9027.833333333334,24155.666666666668,13237232.333333334,16515.341666666664,31.166666666666664,12.166666666666668,2052,84955.33333333333,74795.5,46006.33333333333,89124.5
6,218380.63636363635,6.4648223229761745,39.345454545454544,13.951415381732955,28.481818181818184,4.318181818181818,-638,34942.09090909091,11.618181818181817,65.26363636363637,71.23636363636363,2001.1327272727272,11.454545454545455,138854980.54545456,337147.6363636364,37471.36363636363,13921.09090909091,0.6363636363636364,0.8181818181818181,0,12332.727272727272,1588.3636363636363,5557.636363636364,2962533,7110.337272727273,9.272727272727273,4.2727272727272725,824.8181818181818,37250,33711.36363636364,0,41049.63636363636
7,680689.6666666667,4.395835162624492,39.06111111111111,19.474076249306357,31.727777777777778,6.183333333333334,1196.4444444444443,32338.944444444445,13.788888888888888,62.388888888888886,68.02222222222223,9570.964999999993,23.72222222222222,1797299774.2222223,29706742.833333332,305326.05555555556,71419.11111111111,1.5,1.5,1.0555555555555556,59007.444444444445,12411.666666666668,29788.444444444445,21690341.833333336,15073.715555555556,26.61111111111111,7.944444444444445,1940.3333333333335,85453.33333333334,69459.44444444444,2539808.1666666665,134827.8333333333
8,217362.625,10.72318830894606,30.4875,27.21896400761435,37.775,8.125,-959,26789.625,19.4125,63.0625,57.4375,9117.676249999988,8.5,2767023951.375,42307460.375,315700.375,51747,0.5,0,1.125,40839.625,10907.375,25668.5,9064673,4036.1325,7.375,3.875,536.625,24542,19482.125,0,29795.5
9,255683.33333333334,10.076815789902502,41.43333333333334,12.893064908123241,27.511111111111113,5.144444444444444,918.5555555555554,34217.444444444445,10.88888888888889,62.31111111111111,72.33333333333333,2352.7877777777767,13.444444444444445,51941576.44444445,699742.1111111111,305682,17950.444444444445,1.3333333333333333,0.6666666666666666,0.11111111111111108,16369,1581.4444444444443,6216.888888888889,2782201,5180.261111111111,12.333333333333334,4,533,24664.444444444445,21282.222222222223,0,50028
10,196669.66666666666,16.27558881792236,35.15,27.810267022645746,27.683333333333334,4.325,-204.58333333333331,27970.166666666668,19.85,59.7,63,4450.687499999999,7.25,505061049.75,21171624.583333336,272881.5833333333,34614.916666666664,0.5,0.41666666666666663,0.75,27780.333333333332,6834.583333333334,15240.333333333334,7080730.583333333,6046.981666666666,8.5,4.5,870.5,39673.666666666664,29087,0,31762.5
