Name,State,MSA,Cluster ID,PC_demographics,PC_economics,PC_hospitals,PC_highered,PC_demographics_ntile,PC_economics_ntile,PC_hospitals_ntile,PC_highered_ntile,totpop_19,popchange,medage,poc,pov,youngpov,oldpov,labfor,emp,mbsaocc,serocc,salocc,ncmocc,ptmocc,houincome,wfh,pcinc,medearn,nohealthin,highed,forborn,noenglish,ownerocc,renterocc,net_mig,highered_emp_qcew,highered_inc_qcew,highered_estab_qcew,hospital_emp_qcew,hospital_inc_qcew,hospital_estab_qcew,inst_highered_endowment,inst_highered_nihresearchfunding,inst_highered_nsfresearchfunding,inst_ipeds_enrollment_all,inst_ipeds_noncarnegie,inst_ipeds_associatescolleges,inst_ipeds_baccassoccollege,inst_ipeds_baccalaureatecolleges,inst_ipeds_masterscollegeuni,inst_ipeds_doctuniallother,inst_ipeds_doctoralunihighrese,inst_ipeds_specialfocus,inst_ipeds_tribalcolleges,inst_ipeds_undergradgrad,inst_ipeds_totalgradenrollment,inst_ipeds_completions,inst_ipeds_pellawards,inst_ipeds_pellnumberofstudents,inst_hosp_ahacommunityhospitals,inst_hosp_ahabeds,inst_hosp_ahaadmissions,inst_hosp_ahasurgicaloperations,inst_hosp_nihresearchfunding,inst_hosp_medpayments,inst_hosp_medbeneficiaries,impact_gva_direct,impact_share_allind_gva,impact_share_allind_emp,impact_share_allind_inc,regional_gva_allind,regional_emp_allind,regional_inc_allind,index_real_gdp_19,current_dollar_gdp_19,real_gdp_19,index_real_gdp_21,current_dollar_gdp_21,real_gdp_21,percapita_personal_income_19,total_income_pc_19,percapita_personal_income_21,total_income_pc_21
Bridgeport-Stamford-Norwalk,CT,Bridgeport-Stamford-NorwalkCT,1,1.232843850339631,1.9543863871508669,-0.8092975367222532,-3.089323575823371,94,97,17,26,943926,4.261814872169856,40.6,27.022245387879984,8.9,11,7.199999999999999,67.60000000000001,63.2,46,17.9,21.099999999999998,7.199999999999999,7.8,95645,6,57263,44594,8.4,47.9,22,12,66.9,33.1,-1842,7722.9,425949380.36,47,14324.37,1390456536.49,27,552029214,90891,175350,52381,9,2,0,0,2,2,0,0,0,43840,8541,21544,14239240,3100,6,1696,89665,82511,0,1179687298.87,142804,2505093687.049302,0.04500000178813934,0.057999998331069946,0.02500000037252903,95850369000,653903,111923827000,99.729,96488602,82355020,95.886,98751750,79181882,116996,111976677,127391,122265576
Virginia Beach-Norfolk-Newport News,VA-NC,Virginia Beach-Norfolk-Newport NewsVA-NC,1,0.7071775984008064,0.8378654730657513,-0.6764853407351169,-1.0014727204301708,86,76,22,52,1761729,5.932341994023105,36.3,40.98592916390659,11.3,17.1,6.9,66.8,57.599999999999994,38.9,17.599999999999998,22.1,9.700000000000001,11.700000000000001,66759,3.8,33907,35336,8.4,31.900000000000002,6.5,2.8000000000000003,62.9,37.1,-1261,16587.24,837661162.18,71,25974.21,2064894098.46999,63,1648086721,13243876,134974,144860,12,4,3,2,5,1,3,10,0,124640,20220,57072,29406207,6190,18,3519,175666,147391,0,449769502.87,58144,3969676649.5805874,0.06800000369548798,0.07199999690055847,0.052000001072883606,97039572000,1059492,86704214000,101.48,97949714,85009857,105.259,107067798,88175980,49553,88826123,56716,102277363
Lima,OH,LimaOH,2,-0.8899882570061093,-0.11365572633245272,2.7143372941324757,1.628200038191068,10,41,99,75,103175,-3.200232675961201,39.2,17.45965592440029,13.900000000000002,20.599999999999998,7.000000000000001,62.2,58.9,29.599999999999998,18.5,19.400000000000002,8.3,24.099999999999998,53131,2.8000000000000003,26761,30573,6.1,18.9,1.5,0.8999999999999999,66,34,-17,1205.56,62424225.18,5,3646.53,234252864.14,8,0,0,0,12685,2,1,2,1,0,0,0,0,0,12489,196,6636,4181936,860,5,484,25308,18813,0,148226713,21048,409902729.66681474,0.07800000160932541,0.13300000131130219,0.10300000011920929,8345964000,62954,4432765000,103.843,8253371,7558271,104.48,8962374,7604646,43618,4473356,50353,5119426
Orlando-Kissimmee-Sanford,FL,Orlando-Kissimmee-SanfordFL,3,0.8395564106742237,0.06948562950207823,-0.15295312704351344,-0.6088278516867327,89,49,44,58,2508970,20.413644291249966,37.2,30.272860974822336,13.700000000000001,19.6,9.9,64.2,60.8,37.1,19.8,24.7,7.9,10.5,58368,5.8999999999999995,29875,31153,12.4,32.2,18.5,12.1,63.3,36.7,13087,18299.38,940625660.36,75,46162.56,3369101795.96,84,619417641,16098003,382371,241249,18,3,4,2,3,0,1,8,0,225520,15729,113382,59807073,12498,15,7822,358727,199461,2048608,2327801061,409465,5880574130.686679,0.07800000160932541,0.07800000160932541,0.06599999964237213,150157631000,1772214,119246186000,130.167,149517211,130108904,138.332,167279974,138270798,45562,120432099,53102,142946634
Pensacola-Ferry Pass-Brent,FL,Pensacola-Ferry Pass-BrentFL,4,-0.2530888017489171,-0.01265182653263468,0.28973409281971446,-2.6608574695683513,37,45,66,30,488246,9.526715091368354,38.3,25.730471934229875,12.4,19.6,6.6000000000000005,60.199999999999996,53.6,35.3,19.2,25.1,9.3,11.1,56007,7.5,29335,31223,10,27,5,2.3,69.39999999999999,30.599999999999998,2138,4311.03,208335724.22,11,8880.38,653394624.64,28,76399307,288234,366000,32561,4,0,1,0,1,0,0,1,0,28371,4190,14876,5588320,1136,7,1373,79676,47210,0,682066293.75,102093,1180341959.4992096,0.09300000220537186,0.09600000083446503,0.05999999865889549,21632001000,261835,22808781000,116.088,21626783,18667263,122.901,24309017,19762797,45744,23064129,52548,27135217
New Orleans-Metairie,LA,New Orleans-MetairieLA,5,0.6530161053226055,-0.20786308896494612,0.8261520602832261,-0.9322393154955537,85,38,80,53,1267777,14.728873685544164,38.3,42.68842233294972,17.299999999999997,25.2,12.5,62.5,58.3,37.9,19.7,21.4,10.100000000000001,10.9,53084,4.5,31072,33327,9.700000000000001,30.3,7.6,4.8,65.2,34.8,-3169,15121.32,728723777.75,54,30759.7,2675797408.26,107,1521947347,118940873,261666,84250,17,3,1,1,3,1,2,2,0,68914,15336,39324,24658224,5283,30,4367,160809,167752,276038,967167397.0799999,222767,4568262716.046348,0.09300000220537186,0.10499999672174454,0.07400000095367432,83271870000,814630,69635241000,105.541,82864269,76034914,96.689,81829573,69658137,55050,70052730,61327,77377871
Spartanburg,SC,SpartanburgSC,4,-0.2410713180301947,-0.11132751615643437,-0.16177437319878504,-1.7297237947142026,38,41,44,41,307617,10.587165264032027,38.2,26.82686587542301,14.000000000000002,21.3,9.4,61.5,58.099999999999994,31.2,15.7,21.6,9.3,22.2,52332,3.2,27240,30812,10,24.5,6.3,3.6999999999999997,74.5,25.5,1339,3042.33,130648783.59,11,6383.14,564874186.699999,12,312113305,0,265469,21211,2,3,0,2,1,0,0,1,0,18311,2900,6486,9144709,1727,3,807,32478,36412,2400490,382014938.9,70029,919879636.7918054,0.06700000166893005,0.06300000101327896,0.05700000002980232,17244482000,204309,15081943000,127.248,16583706,14340935,132.876,17914096,14975238,45010,14533789,50596,16993490
Bismarck,ND,BismarckND,6,-0.5412290422454666,2.090512128869295,0.9816227585252629,-1.2681335845292037,24,98,84,47,127503,20.869672379796754,37.3,9.22017521156365,7.9,7.3,8.6,71,69.19999999999999,39.800000000000004,17.299999999999997,20.3,11,11.600000000000001,71398,3.9,38898,42288,5.4,33.300000000000004,2.1999999999999997,1.2,72.8,27.200000000000003,-419,1516.47,59377522.0199999,13,2119.25,211675029.95,5,42495521,0,0,10621,3,0,1,0,0,1,0,0,2,8864,1757,4764,1921371,438,3,505,23436,20621,0,145159631.92999998,22859,373611273.1870824,0.07900000363588333,0.07400000095367432,0.0560000017285347,7802937000,95068,7783038000,103.83,7619638,6715953,103.818,8243740,6715190,58252,7734424,64134,8620683
Billings,MT,BillingsMT,6,-0.6853925501525866,0.9569001874657964,1.1485658416402056,-4.677061141030266,17,79,86,10,179071,16.246656799356018,39.5,9.114820378509084,9.6,11.700000000000001,7.7,66.3,63.9,35.3,18.5,21.8,12,12.3,61278,4.3999999999999995,34256,34642,7.1,31.6,2,0.8999999999999999,71.6,28.4,185,1026.58,40387358.22,5,6636.25,659639578.22,8,32055243,0,0,6993,1,0,0,0,2,0,0,0,0,6391,602,2408,1755146,378,5,614,28817,25030,0,218562105.20000002,32629,912843962.6714079,0.1509999930858612,0.13699999451637268,0.11299999803304672,9953536000,116280,9365231000,109.126,10442600,9743657,111.664,11570641,9970238,53437,9750428,59698,11165820
Huntsville,AL,HuntsvilleAL,7,0.15865337657463754,0.5095657254807205,0.04137004965040298,-0.17368739173499664,62,68,56,63,457003,13.768938545260824,38.7,29.51140364505266,12.7,18.5,7.7,62.7,59.099999999999994,45.6,15,19.7,7.199999999999999,12.5,64483,3.6999999999999997,34918,35727,8.6,39.2,5.1,2.4,71.2,28.799999999999997,944,5740.25999999999,268659872.11,21,9853.59,717463916.859999,10,0,261029,233345,40502,3,2,0,2,1,0,1,1,0,36571,3931,13032,11379714,2230,4,1270,65825,61920,0,514056857.30999994,79020,1302715702.0990667,0.05900000035762787,0.0729999989271164,0.05400000140070915,30621167000,309046,24625722000,118.158,30721446,27313289,125.737,34086472,29065360,51384,24810646,57815,29065186
