Cluster 5,Cluster 10,Cluster 15,Cluster 20,Cluster 25,Cluster 30,Cluster 35,Cluster 40,Name,State,MSA,Total Population (2019),Population Change,Median Age,% Population in Labor Force,% Population in Poverty,% Population People of Color,$% Population with Bachelor's Degree,% Population Foreign Born,Net Domestic Migration,Higher Education Employment,Higher Education Establishments,Hospital Employment,Hospital Establishments,Higher Education Enrollment,High Research Doctoral Degree Institutions,Total Pell Grant Amounts Awarded,Hospitals/Community Hospitals,Hospital Beds,NIH Research Funding
4,7,4,18,13,27,20,4,Bridgeport-Stamford-Norwalk,CT,Bridgeport-Stamford-NorwalkCT,943926,4.261814872169856,40.6,67.60000000000001,8.9,27.022245387879984,47.9,22,-1842,7722.9,47,14324.37,27,52381,0,14239240,6,1696,0
4,1,12,10,16,30,6,25,Virginia Beach-Norfolk-Newport News,VA-NC,Virginia Beach-Norfolk-Newport NewsVA-NC,1761729,5.932341994023105,36.3,66.8,11.3,40.98592916390659,31.900000000000002,6.5,-1261,16587.24,71,25974.21,63,144860,3,29406207,18,3519,0
1,2,9,7,20,23,30,40,Lima,OH,LimaOH,103175,-3.200232675961201,39.2,62.2,13.900000000000002,17.45965592440029,18.9,1.5,-17,1205.56,5,3646.53,8,12685,0,4181936,5,484,0
4,1,12,19,19,10,35,1,Orlando-Kissimmee-Sanford,FL,Orlando-Kissimmee-SanfordFL,2508970,20.413644291249966,37.2,64.2,13.700000000000001,30.272860974822336,32.2,18.5,13087,18299.38,75,46162.56,84,241249,1,59807073,15,7822,2048608
1,2,8,16,22,7,30,26,Pensacola-Ferry Pass-Brent,FL,Pensacola-Ferry Pass-BrentFL,488246,9.526715091368354,38.3,60.199999999999996,12.4,25.730471934229875,27,5,2138,4311.03,11,8880.38,28,32561,0,5588320,7,1373,0
4,1,12,10,16,30,6,25,New Orleans-Metairie,LA,New Orleans-MetairieLA,1267777,14.728873685544164,38.3,62.5,17.299999999999997,42.68842233294972,30.3,7.6,-3169,15121.32,54,30759.7,107,84250,2,24658224,30,4367,276038
5,3,8,16,12,7,27,26,Spartanburg,SC,SpartanburgSC,307617,10.587165264032027,38.2,61.5,14.000000000000002,26.82686587542301,24.5,6.3,1339,3042.33,11,6383.14,12,21211,0,9144709,3,807,2400490
4,8,14,20,4,24,13,39,Bismarck,ND,BismarckND,127503,20.869672379796754,37.3,71,7.9,9.22017521156365,33.300000000000004,2.1999999999999997,-419,1516.47,13,2119.25,5,10621,0,1921371,3,505,0
1,8,10,4,4,24,17,39,Billings,MT,BillingsMT,179071,16.246656799356018,39.5,66.3,9.6,9.114820378509084,31.6,2,185,1026.58,5,6636.25,8,6993,0,1755146,5,614,0
4,8,14,10,6,1,7,7,Huntsville,AL,HuntsvilleAL,457003,13.768938545260824,38.7,62.7,12.7,29.51140364505266,39.2,5.1,944,5740.25999999999,21,9853.59,10,40502,1,11379714,4,1270,0
5,3,2,14,1,9,11,27,Athens-Clarke County,GA,Athens-Clarke CountyGA,208457,10.33440602968263,32.2,61.4,22,27.98226972469142,39.4,7.8,71,15154.7899999999,9,4596.52,10,49431,1,5885080,3,560,0
1,2,9,8,10,25,3,32,Johnstown,PA,JohnstownPA,133009,-8.105512605274246,45.4,54.900000000000006,15.4,6.4732461713117155,21.099999999999998,1.0999999999999999,195,1514.76,5,1472.62,4,13608,0,3188715,3,573,0
1,2,10,7,3,8,30,26,Hagerstown-Martinsburg,MD-WV,Hagerstown-MartinsburgMD-WV,283147,6.99003959977027,40.2,62,11.899999999999999,15.1511405736243,21.3,4.3999999999999995,326,1764.65,19,6474.95,15,16711,0,3298808,3,514,0
5,3,7,3,24,6,15,38,Hattiesburg,MS,HattiesburgMS,168177,20.910620308860327,35.2,60.6,22.400000000000002,32.57520350583017,27.400000000000002,2.3,-247,2163,2,3843.02999999999,4,23959,1,5625411,4,873,0
5,5,3,9,2,15,10,15,El Paso,TX,El PasoTX,840477,8.830605479877773,32.2,62,20.200000000000003,20.39841661342309,23.200000000000003,24.2,-1136,10661.75,23,12384.73,27,81911,1,37455733,12,1914,0
4,3,7,10,16,30,34,25,Columbia,SC,ColumbiaSC,824278,10.768465823193063,36.6,64.2,15,40.444607280553406,32.7,5,1329,9657.31,34,21788.54,37,61027,1,15546435,8,2047,0
4,7,4,18,13,27,29,4,Kahului-Wailuku-Lahaina,HI,Kahului-Wailuku-LahainaHI,165979,0,41.2,66.8,9.3,64.51900541634785,27.200000000000003,18.7,-214,824.79,56,1988.12,23,4200,0,730299,4,367,0
1,2,9,7,20,23,30,20,Evansville,IN-KY,EvansvilleIN-KY,314960,-11.491791577444687,39.7,63.2,14.399999999999999,11.922783845567691,25.900000000000002,2.6,649,3388.45,6,9480.26999999999,14,17961,0,4201908,7,1368,0
1,2,9,8,10,25,3,32,Florence-Muscle Shoals,AL,Florence-Muscle ShoalsAL,147327,0.7653479973735999,41.7,54.900000000000006,14.899999999999999,16.0201456623701,21.5,2,286,1681.14,6,2003.87999999999,8,13944,0,3886813,3,601,0
1,2,8,7,22,19,14,20,Wilmington,NC,WilmingtonNC,288337,-17.505335858687012,39.8,61.6,15.6,19.608652375518922,37.9,5,1598,4753.87,11,2211.11,8,34395,1,7961996,2,784,0
1,2,10,4,22,7,30,26,East Stroudsburg,PA,East StroudsburgPA,168032,0,42.9,61.8,11.200000000000001,23.677632831841557,24.7,9.8,804,711.99,4,1911.84,3,7561,0,3185559,2,329,0
4,8,14,1,18,26,32,18,Missoula,MT,MissoulaMT,117309,9.34028036686303,36,70.1,14.299999999999999,8.432430589298349,43,3,505,2320.18,9,2835.46,8,13140,1,2559389,2,335,0
1,2,10,4,3,8,1,29,Winchester,VA-WV,WinchesterVA-WV,137621,9.761369255555019,41.1,62.3,10.100000000000001,9.964322305462101,26.700000000000003,6.800000000000001,79,1756.93,12,2968.2,4,13933,0,1517331,2,585,0
1,2,10,4,3,7,16,26,Reading,PA,ReadingPA,418025,2.6306744248852265,39.9,65.3,12,17.59488068895401,24.9,7.5,-196,2862.89,7,8465.27999999999,8,25267,0,7238181,5,1064,0
5,3,7,3,24,6,5,22,Columbus,GA-AL,ColumbusGA-AL,319402,10.061198329451004,35.4,59.699999999999996,19.1,50.91389534192021,24,5.1,813,1884.97,10,7557.55999999999,17,18148,0,7404170,6,1067,0
1,6,13,12,21,13,33,30,Lake Havasu City-Kingman,AZ,Lake Havasu City-KingmanAZ,207695,4.27659820159958,51.6,45.1,16.400000000000002,9.76528082043381,12.9,6,6196,312.67,3,3413.44,7,5713,0,818042,4,512,0
1,2,10,4,3,19,30,26,Davenport-Moline-Rock Island,IA-IL,Davenport-Moline-Rock IslandIA-IL,381175,1.178278688524581,39.7,63.4,12.5,14.870597494589099,26.900000000000002,5.2,-1381,4592.63999999999,32,6602.6,16,30551,0,4511967,8,1073,0
